image,text
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2020_batch_300/1212591368201072640g.png,"Let’s get rid of diet and exercise in 2020! Trans-slender is here, y’all. 😂 https://t.co/IimAY8poT5"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2020_batch_300/1212983245626843137g.png,"@IlhanMN I’m sure if the President needs advice on how to steal from his campaign, marry his brother after committing immigration fraud, commits adultery, then has to PAY his new love with tax payer monies OR raise funds for terrorist groups—he knows where you are. https://t.co/Cofpw3h0kM"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2020_batch_300/1213154099560112128g.png,"Remember when someone who will remain nameless tweeted that without starting a new conflict, Obama couldn't get reelected? Now, that SAME PERSON has set in motion what amounts to proxy war for the Saudis by killing #Suleimani , endangering the lives of countless Americans. https://t.co/JaH77aQVgI"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2020_batch_300/1213179093769834496g.png,Nigga.😂 https://t.co/9m5NL83lxx
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2020_batch_300/1213207331892342785g.png,Finally finished this work by Nancy Isenberg and I am beyond grateful for the wealth of knowledge I learned about the history Class and Poor White people. https://t.co/Au2F9km80Z
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2020_batch_300/1213268948432703495g.png,@charliekirk11 You socialist must have been paid off by #Soros. Or are you really that fked up. @potus is saving America. https://t.co/eZ62Qd30Lz
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2020_batch_300/1213526599599083521g.png,This meme is so relatable and I badly want to share it but I have non Asian friends on Facebook and I don’t want to offend them so I’ll just drop it here lmao https://t.co/Ridoy6K07f
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2020_batch_300/1214263634605395968g.png,#IRAN I SAY ALL US BLACK PEOPLE DO NOT ILL SAY IT ONE MO TIME WE DO NOT HAVE SHIT TO DO WIT DONALD TRUMP OR HIS RACIST AZZ FOLLOWERS SO PLEASE LET US BE GIVE US A WARNING ⚠️ SO WE CAN LEAVE THE UNITED STATES AMERICA AND GO VISIT AFRICA TILL YALL DONE WIT THAT DUMBASS @Iran #Iran https://t.co/KjdwFwLL7k
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2020_batch_300/1215315070017843200g.png,@WayneDupreeShow Kathy Griffin looks like a tranny a ugly one https://t.co/PZvr22krvc
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/memes/2020_batch_300/1215913984974454785g.png,Sounds like someone doesn’t understand the definition of the term racist. LOL. Saying white people can’t be the victims of racism or prejudice is ignorance in itself. You become what you are aiming to defeat. You are not helping anyone’s situation. https://t.co/JPIAvMqm8x
