batch,image,text
batch_10,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_10/0-3843081862436178.png,Shout out to our staff and program at Clark Early Childhood Center! So proud of you!
batch_10,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_10/353853-10158152034416755.png,"Today the artwork of Leekya Deyuse is shown in museums and collections throughout the world because of his craftsmanship and artistry, and lives on in the artwork of his family. We hope this look into the art and legacy of Leekya Deyuse will enhance your knowledge of American Indian art and provide insight into how he’s influenced generations of carvers in a blog from our friends at Indian Pueblo Store. https://www.indianpueblostore.com/blogs/native-art-artists"
batch_10,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_10/353873-10159747578099805.png,"Holocaust denial attempts to deny the extent of the extermination of the Jews by the Nazis during WWII. It is on the rise, and it is antisemitic. Ahead of International Holocaust Remembrance Day this month, WJC put together a resource on understanding Holocaust denial and distortion ➡️ https://bit.ly/3I5tgPu:=:https://www.worldjewishcongress.org/en/news/antisemitism-defined-why-holocaust-denial-and-distortion-is-antisemitic Be part of the #WeRemember campaign for International Holocaust Remembrance Day. Take a picture holding a sign and post it to social media using the hashtag #WeRemember."
batch_10,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_10/353939-5405779682835442.png,Good Morning! 🇺🇸
batch_10,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_10/353969-4961180230585389.png,"We congratulate our Executive Director Kim M. Webb for being selected as the 2022 VUCA Honoree with Leadership Council For Nonprofits This award recognizes an early-career leader in the Greater Cincinnati nonprofit sector who is positively impacting their organization and the community through demonstrated Vision, Understanding, Clarity & Agility while operating in a Volatile, Uncertain, Complex & Ambiguous world. Kim is a tireless advocate for adults experiencing homelessness. She exhibits grace under pressure while managing & navigating challenging political situations, patiently persuading the community that a warm, safe bed is a right not a privilege. She has worked and struggled to lead the shelter to a state of the art building that improves the work environment for staff but is also a place where guests can not only rest, but find resources to help them move from homeless to housed. We congratulate all the honorees for their achievements. You can learn more about all honorees and how to register for the Securing the Future Conference by visiting https://www.leadershipcouncil.us/programs/securing-the-future-conference/:=:https://www.leadershipcouncil.us/programs/securing-the-future-conference/about-the-conference/"
batch_10,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_10/353979-306187431502776.png,"Queen Nanny, Granny Nanny, Nanny of the Maroons 1686- 1755 Let’s celebrate our Warrior Queen 👑 Nanny’s legacy lives on as she is remembered as one of the earliest leaders of slave resistance in the Americas We are grateful for our ancestors #womenshistorymonth #HERSTORY #maroons #socioeconomic #spiritual #warfare #blackeducationempowerstv #blackeducationempowerstruevision #beetvproductionz #beecause #ifwedontwhowill #beetvminiseries #beegreater #blackmindsmatter #blackexcellence #originalsassemble #wesetthetrends #setbettertrends #blackhistoryisworldhistory #blackhistory365 #Israelites #foundationalblackamericans #wearetheculture #followus #followme #follow4follow #culturalpreservationstation #TaylorBeeTV"
batch_10,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_10/353988-4721559241213040.png,"Join us in honoring Betty White, a tremendous advocate to all animals. In honor of what would have been her 100th birthday, on what is also a day of service in honor of Dr. Martin Luther King, please consider making a donation to Athenspets to celebrate Betty's lasting legacy. Athenspets is an all-volunteer group that cares A LOT about the pets in our community and the people who love them. We are dedicated to helping our shelter pets find permanent homes or rescue placements and to reducing pet overpopulation in the Athens area."
batch_10,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_10/353996-10160011705924082.png,We are excited to share that this year's graduating class ties for the largest-ever! Read about ceremony details and more: https://bit.ly/3Lt8c6D:=:https://www.usiouxfalls.edu/news-and-events/usf-news-feed/usf-graduating-class-ties-for-largest-ever
batch_10,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_10/354014-479988216828887.png,A WIND CHILL ADVISORY remains in effect until 9AM for the NE half of #Iowa. Wind Chills are currently as cold as -29. Stay safe and bundle up if you're planning on heading out this morning.
batch_10,https://raw.githubusercontent.com/heranmane/label_studio_images/main/batch_10/354054-5420456164654213.png,🤣🤣🤣🤣🤣🤣🤣-sonic
