batch,image,text
batch_25,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_25/101234-10161708007172892.png,"Support the #Corner65 Strike-A-Thon by pledging today! The Refugee Response has signed up 40 student for martial arts led by Nathan from our new partner, The Cleveland Shaolin King Fu Academy! You can make your pledge here: https://forms.gle/ZDjmhjeLJRnDFYWPA:=:https://docs.google.com/forms/d/e/1FAIpQLSf9WfOeLKbYJreLT_8ArQPl5LKzYdksU3Z1PXDtCl8Rl15cLQ/viewform"
batch_25,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_25/102655-5265158273534403.png,"Montclair Public Forum 2022 What Role Do Universities Have In Supporting Undocumented And Documented Students? 📆 Tuesday, February 22, 2022 ⏰ 5:30 pm 📍Zoom Register now: https://tinyurl.com/MPFregister:=:https://www.eventbrite.com/e/257539336087"
batch_25,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_25/103144-5175700555810244.png,"May is Asian Pacific American Heritage Month, which recognizes the rich history of Asian and Pacific Islanders living in the United States. The Center would like to celebrate one of the AAPI leaders in the anti-violence movement, Amanda Nguyen. #communitysupport"
batch_25,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_25/103198-1179941129482048.png,"Foreign Minister of Armenia Ararat Mirzoyan had a phone conversation with Foreign Minister of Azerbaijan Jeyhun Bayramov. The Ministers exchanged views as a follow-up to the agreements reached by the leaders of both states. The parties agreed on the structure of the commission on delimitation and border security. It was agreed to convene a meeting on the commission on delimitation and border security in near future. The sides also discussed the issues related to addressing humanitarian issues, as well as preparation of peace talks."
batch_25,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_25/104470-10157783835697255.png,Did you know...
batch_25,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_25/105344-3070184163240089.png,"🤍GIVEAWAY🤍 This is a BIG week for men’s and women’s basketball so ALL BASKETBALL items are now 20% off (link in bio) AND we are giving away TWO $25 gift cards to Bajío Mexican Grill!!! Rules: 1. Follow @byustore and @bajiogrillutah 2. Like this post 💙 3. Tag your friends! (Each comment with tag is an entry!) Winners will be announced Monday, Feb. 7 @12:30pm!"
batch_25,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_25/105707-5191267070925921.png,"The entire world is watching the crisis taking place in Ukraine and our hearts are all broken. In addition to the destruction and death they are experiencing, reports indicate nearly 1 million Ukrainians have become refugees in neighboring countries. Convoy of Hope is our humanitarian agency and we are asking you to give towards their efforts to provide food, shelter, clothing, medical supplies and spiritual assistance. Please designate your gift to “Ukrainian Refugee Offering” online or on your contribution envelope. Give Here: https://app.securegive.com/lifechurchsmyrna/life-church-smyrna-assembly-of-god/donate/category?cats=49097&amts=false&recurring=true"
batch_25,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_25/106661-571182277957593.png,"Please show up for the midterms. Here is some info on when and where. Absentee voting: Absentee by-mail ballots are available to certain voters, including anyone age 60 and older and people who will be traveling outside their county during early voting and on Election Day. Early in-person voting: You can vote early and in person at your county election commission’s office or at a satellite early voting location, if your county uses one. Early voting runs from July 15 through July 30 for the primaries and Oct. 19 through Nov. 3 for the general election. In-person voting on Election Day: The state’s primary election is Thursday, Aug. 4; the general election is Tuesday, Nov. 8. Polling hours vary by county, but all locations will close at 7 p.m. CT, 8 p.m. ET."
batch_25,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_25/107059-3293834924181864.png,"WEEKEND READING: Two recent studies highlight the impact of charter schools on academic growth, especially among historically disadvantaged students. Read more about the findings: https://fordhaminstitute.org/national/research/still-rising-charter-school-enrollment-and-student-achievement-metropolitan-level https://news.tulane.edu/pr/study-charter-schools-boost-math-and-reading-scores-high-school-graduation-rates"
batch_25,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_25/107908-480997987087498.png,"$70/$200 ✨Community Request✨ Family of three in need of funds for immigration lawyer. We are asking for $200 but the request is ongoing. This family has literally been scammed by one lawyer and is doing everything in their power to raise money. We are asking for $200 to help obtain legal representation for this month. Any amounT helps, label 🎁 please share! Venmo: @Beingblack-InTheburbs Caeshapp: $Beingblackintheburbs PayPal: PayPal.me/beingblackintheburbs:=:https://www.paypal.com/paypalme/beingblackintheburbs"
