batch,image,text
batch_23,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_23/10033-10159429417873124.png,"File Under: ""You don't see these every day."" A couple of Rick and Morty Smith family autos, courtesy of Sarah Chalke and show co-creator Justin Roiland. ✍️"
batch_23,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_23/10059-10158689669288553.png,Freshly fried every morning.
batch_23,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_23/100854-977565912847642.png,"A heated neck wrap on a freezing cold day? Yes, please! We'll do our best to make your visit with us relaxing and comfortable! Give us a call to schedule your appointment today! 🤗 . . . #siouxcenterdental #faithfamilyservice #generaldentist #relaxationmenu #relax"
batch_23,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_23/101027-5102287816469341.png,Join us for a weekend of basketball!
batch_23,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_23/101595-7057446904297633.png,"Jewish Gators of the week Fabiana Maroniene and Brett Sachs Congratulations - Mazal Tov! Do you know a Jewish Gator that deserves to be nominated? A student that did a special Mitzvah, celebrated a birthday, achieved a milestone, etc. … Please let us know. Today before Shabbat, please light Shabbat candles, say a prayer, and do an extra Mitzvah good deed & give charity for the people of Ukraine and for peace in the whole world."
batch_23,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_23/10173-1477542689306454.png,"I spy with my little eye… a cold front! 👀 Wow, 73 degrees in Atlanta and -6 in North Platte! 🥶 Which side of the front do you prefer to be on?"
batch_23,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_23/102118-10159590560789194.png,Already planning a spring break trip? Don't forget to make sure your car is ready to hit the highway. Head to Autosmith to make sure your car is working properly. They'll take good care of you and you'll be cruising with your windows open and your hair down in no time.
batch_23,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_23/102223-5094918800576681.png,Here are some fantastic new nonfiction titles to help you celebrate Asian American and Pacific Islander Heritage Month! #hplkids #aapi #imagineMORE
batch_23,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_23/102763-5355450837827365.png,8 shutout innings from Ty Culbreth in his latest outing for the Sioux Falls Canaries 💪 #WePlayToWin
batch_23,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_23/102846-1375027442916239.png,"Special Live Show with Immigration Attorney Janetha Reddy Kancharla ESQ. to discuss and view on Current Immigration Issues by RJ Sowji Topic : 1. GC - AOS filing 2. GC-EAD/Supplement J 3. I-140 Downgrade 4. H4 / L2 Renewals 5. Visa Bulletin In Telugu NRI Radio on 09-JAN-2022 (Sunday ) at EST: 2:00 PM to 3:00 PM CST: 1:00 PM to 2:00 PM PST: 11:00 AM to 12:00 PM IST : 12:30AM to 1:30AM (10JAN2022 -Monday Early Morning) In TeluguNRIradio, Hang up and dial to below numbers India: +91-9705222005 USA: +1-9197012005 UK :+44-1158882005 Skype: telugunriradio Please click the below link http://telugunriradio.com/:=:https://telugunriradio.com/ Please share to your friends circle and family, Please download Telugu NRI Radio app also... Please email: telugunriradio@gmail.com Android: https://play.google.com/store/apps/details... App Store: https://itunes.apple.com/.../telugu-nri.../id1305617097... Youtube : https://www.youtube.com/.../UCJoUiTK6OHcHK6sRuZYPPtQ/videos FaceBook: https://www.facebook.com/TeluguNRIRadio/ https://www.facebook.com/janethareddy.kancharla Janetha Reddy Kancharla Venkata Lakshmi Sowjanya Yellapantula #Janetha #Immigration"
batch_23,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_23/104502-3135964616674966.png,You deserve it! Stop in today or order online #MexicanEats #MargaritaMonday www.lovelatolteca.com:=:http://www.lovelatolteca.com/
batch_23,https://raw.githubusercontent.com/heranmane/label_studio_images/main/10k_batches/batch_23/104891-1933514193508682.png,"Drive by Almost Home and bring some diapers! Drive Thru Diaper Donations Held by the NCNW Bertha Black Rhoda Section Saturday, April 23rd from 10am - 2pm 3200 St. Vincent Ave., Saint Louis, MO 63104 Diapers most needed are size 5, 6, and pull ups but all sizes are appreciated (as well as baby wipes). NCNW is a service organization dedicated to the advocacy for women of African descent. To learn more, call President Deborah Baker-Dukes at (314) 521-8232. #almosthomestl #diaperdrive #ncnwBBR"
